LSOA_Code,LSOA_Name,Borough,Mean_AI,Median_AI,Min_AI,Max_AI,PTAL_2023,PTAL_Score
E01004236,Tower Hamlets 008B,Tower Hamlets,23.23300769808364,23.448739633485552,20.184213884760737,24.631968031192855,5,6
E01004237,Tower Hamlets 008C,Tower Hamlets,25.62700824180501,25.573433633510486,22.620206502695304,28.64616022310083,6a,7
E01004239,Tower Hamlets 008E,Tower Hamlets,20.214376753786325,20.054591694019603,17.4079023735725,23.43329470953292,5,6
E01004240,Tower Hamlets 012A,Tower Hamlets,13.632355075714948,14.09613646917785,7.413518469421062,18.266687285740822,3,4
E01004241,Tower Hamlets 012B,Tower Hamlets,13.411604471289689,11.356378928488624,7.86462569409815,23.254690935728608,3,4
E01004243,Tower Hamlets 020A,Tower Hamlets,14.612795262836828,14.432785022912665,12.017872675181223,16.835189018191357,3,4
E01004244,Tower Hamlets 020B,Tower Hamlets,19.946200216431123,18.10408881070837,12.398847131907107,27.379042162414628,4,5
E01004245,Tower Hamlets 018A,Tower Hamlets,11.02806316731041,12.166336377738734,0.0,27.310116999327803,3,4
E01004247,Tower Hamlets 020C,Tower Hamlets,20.40879133087377,19.425179965412713,16.647957266437203,25.693593310410083,5,6
E01004248,Tower Hamlets 018C,Tower Hamlets,13.409399249626926,15.43651787335332,2.021615068557962,16.402241919419804,3,4
E01004249,Tower Hamlets 018D,Tower Hamlets,10.042560172020924,10.798562236875792,1.931252661878345,15.637363670083658,3,4
E01004251,Tower Hamlets 023A,Tower Hamlets,24.44971127219487,25.16081222208411,18.562676134299352,27.205218189612644,5,6
E01004255,Tower Hamlets 023C,Tower Hamlets,34.05309372868543,33.50902464269781,24.97870526650536,45.72465949380335,6a,7
E01004256,Tower Hamlets 024C,Tower Hamlets,29.416154821877807,28.77088113310445,21.42058067833491,36.09052729224965,6a,7
E01004257,Tower Hamlets 024D,Tower Hamlets,25.030969648299543,24.9032161468428,20.136338865608096,31.059843592233907,6a,7
E01004258,Tower Hamlets 023D,Tower Hamlets,22.928128015407115,23.00926281252027,13.35129983544892,29.455696125371684,5,6
E01004259,Tower Hamlets 007A,Tower Hamlets,27.71690775215773,28.146791815721745,20.42353817668365,33.573829281062004,6a,7
E01004260,Tower Hamlets 007B,Tower Hamlets,21.33962045258658,20.82949049612153,17.975005641208465,27.544695041381217,5,6
E01004263,Tower Hamlets 007C,Tower Hamlets,19.223342005565947,16.63960986135761,15.167857070642311,25.88762107769456,4,5
E01004264,Tower Hamlets 010C,Tower Hamlets,25.957139157828845,26.46262755865561,22.29209663102511,28.75513614521384,6a,7
E01004266,Tower Hamlets 007D,Tower Hamlets,22.124751079335343,21.992964615473575,18.787774514849723,24.934055320088493,5,6
E01004267,Tower Hamlets 012D,Tower Hamlets,23.814643700377,23.94209763596652,15.07983554754298,34.42806853381407,5,6
